5,20,53,89,137,189,223,238,242,227,200,167,123,80,38,14
18,69,120,177,225,246,251,241,230,230,227,219,191,153,103,44
54,125,186,228,232,215,189,176,167,170,178,195,210,199,148,85
93,180,221,212,185,156,131,113,101,102,122,154,188,224,195,129
138,221,215,175,136,103,74,62,54,60,84,116,159,211,230,173
184,227,190,140,96,60,39,22,21,30,49,90,131,185,236,208
221,230,170,116,68,32,10,7,5,10,26,56,109,166,229,239
240,232,165,104,54,20,7,3,1,4,11,41,93,154,221,248
245,237,169,109,56,21,6,2,0,2,12,40,83,147,215,248
232,244,187,122,67,31,12,6,3,7,19,47,87,148,212,237
206,248,199,143,91,54,29,17,13,19,39,69,111,160,216,219
167,239,218,168,119,84,55,44,43,54,73,107,141,184,217,190
109,201,228,195,153,121,101,91,93,104,128,151,186,218,207,152
62,151,207,218,199,169,146,145,151,161,181,204,223,207,172,102
30,89,154,200,222,223,211,206,215,225,241,239,218,174,118,55
10,33,75,133,180,213,240,251,255,242,223,191,148,96,58,21
